oid,OBJEKT Inventarnummer,OBJEKT Sammlung,klassifikation,webtext,datierung,herstellung,herkunft,OBJEKT -> Inhalt,OBJEKT -> Masse,OBJEKT -> Material und Technik
147604,LM-49660,Technologie und Brauchtum,Spanischsuppenschüssel,"Zylindrisch auf drei niederen Füsschen, glatte Wandung mit 3 reliefierten Wappenschilden, glatter gewölbter Deckel. Inhalt: Personenwappen Beatt Böschenstein. Joss Hubenschmidt. Hans Jacob Graaff. Herstellung: vielleicht Schaffhausen; Besitzer Zunft zum Kleeblatt. Datiert 1614. Herkunft: Herrenstube, Stein am Rhein. 24 cm. Ø 23,4 cm. Bronze, reliefiert. 

Literatur:
Jb. SLM 1971, p. 26. - Felix Graf. Von Küche und Kirche im alten Stein am Rhein. In: Schaffhauser Nachrichten, 11. November 2014, S. 22. ",1614,vielleicht Schaffhausen; Besitzer Zunft zum Kleeblatt,  ,Personenwappen Beatt Böschenstein. Joss Hubenschmidt. Hans Jacob Graaff. ,"Höhe 24 cm, Durchmesser 23.4 cm.
Schüssel: Höhe 14.9 cm, Durchmesser 23.4 cm.","Bronze, reliefiert."
130997,LM-49956,Technologie und Brauchtum,Topf,"Rund, mit nach oben sich weitender Wandung. Oben mit Halteband aus Eisen. Herstellung: Val Malenco. 1700 - 1900. Herkunft: Italien, Oberitalien. 12,5 cm. Ø 17 cm. Lavezstein. 

Literatur:
Literatur:
- Rütimeyer, Ur-Ethnographie der Schweiz, 1924, S. 141, Fig. h. ",1700 - 1900  ,Val Malenco. ,  ,,"Höhe 12.5 cm, Durchmesser 17 cm.",Lavezstein.
107890,LM-49970,Technologie und Brauchtum,Pokal,"Eiförmiges Gefäss, von 3 stehenden Männerfiguren hochgehalten: Tellsgeschichte. Inhalt: Herrenporträt Johannes Stumpf. Herstellung: wohl Brienz. Um 1830 - 1840. 32 cm (ohne Deckel). Holz, geschnitzt. 

Literatur:
Text FSG:

Coupe en bois de l`école de Brienz représentant le récit de Tell, couronné par la figure du chroniqueur Johannes Stupf 							

Sur ce récipient ovoïde sculpté en bois, soutenu par trois hommes, l`écriture de l`histoire est associée au mythe. Le motif central illustre le récit de Tell avec le refus de saluer le chapeau et le tir réussi de la pomme. Le couvercle est couronné par la silhouette du chroniqueur zurichois Johannes Stumpf (1500-1577/78).

. ",1830 - 1840  ,wohl Brienz. ,,Herrenporträt Johannes Stumpf. ,"Objekt: Höhe 32 cm (ohne Deckel).
Höhe 50 cm.","Holz, geschnitzt."
124939,LM-53866,Technologie und Brauchtum,Säapparat (Landwirtschaft),"Sävorrichtung auf zweirädrigen Wagen montiert. Inhalt: Ackerbau. Herstellung: Fabrikant Aebi & Cie. Landwirtschaftliche Maschinen, Burgdorf. 1900 - 1950. 280 x 177 x 112 cm. Gusseisen, bemalt. ",1900 - 1950  ,"Fabrikant Aebi & Cie. Landwirtschaftliche Maschinen, Burgdorf. ",,Ackerbau. ,"Höhe 280 cm, Breite 177 cm, Tiefe 112 cm.","Gusseisen, bemalt."
92619,LM-55132,Technologie und Brauchtum,Wasserrohr,"Deuchel, 'Tüüchel'. Abschnitte zusammensteckbar. 1700 - 1800. Herkunft: Zürich (ZH), Seilergraben. 97 cm. Ø 25 cm. Föhrenholz. ",1700 - 1800  ,,  ,,"Höhe 97 cm, Durchmesser 25 cm.",Föhrenholz.
137147,LM-55425,Technologie und Brauchtum,Gebärstuhl,"Zusammenlegbar, mit senkrecht auf den Armlehnen befestigten runden Haltegriffen. Datiert 1811. 101 x 69 x 61 cm. Nussbaumholz. ",1811,,,,"Höhe 101 cm, Breite 69 cm, Tiefe 61 cm.",Nussbaumholz.
137243,LM-55454.1-14,Technologie und Brauchtum,Bügeleisenofen,"Auf 3 geschweiften Beinen stehender zweigeschossiger Aufbau, Fabrikmarke 'HK'. Herstellung: Philadelphia. 1850 - 1900. 68 x 35 x 35 cm. Gusseisen. ",1850 - 1900  ,Philadelphia. ,,,"Höhe 68 cm, Länge 35 cm, Breite 35 cm.",Gusseisen.
135288,LM-56769,Technologie und Brauchtum,Spritze,"Mit beinerner, abschraubbarer Düse. Kolben mit Ring. Inhalt: Medizin und Heilkunde. 1800 - 1900. Herkunft: Johannes Landis (1823 - 1896). Zinn. ",1800 - 1900  ,,Besitzer ,Medizin und Heilkunde. ,,Zinn.
117427,LM-59000.1-2,Wissensch. Instrumente,Himmelsglobus,"Im Innern eingebautes Uhrwerk. Am Nordpol kleines Zifferblatt aus Silber. Kassel. Inhalt: Lebensalter / Lebensetappen. Herstellung: Jost Bürgi (1552 - 1632). 1594. Herkunft: Joseph Fremersdorf, Luzern. 25,5 cm. Ø 14,2 cm (Durchmesser Kugel). Messing, vergoldet, gegossen. Graviert, getrieben. Ziseliert. 

Literatur:
J.H.Leobold-K.Pechstein, Der kleine Himmelsglobus 1594 von Jost Bürgi, Luzern 1977. ",1594,Jost Bürgi (1552 - 1632). ,Sammler ,Lebensalter / Lebensetappen. ,"Höhe 25.5 cm, Durchmesser 14.2 cm (Durchmesser Kugel).
Durchmesser 21.2 cm (grösster Durchmesser).","Messing, vergoldet, gegossen. Graviert, getrieben. Ziseliert."
-360920,LM-59000.1,Wissensch. Instrumente,Himmelsglobus,"Himmelsglobus. Fuss. Inhalt: Lebensalter / Lebensetappen. Herstellung: Jost Bürgi (1552 - 1632). Herkunft: Joseph Fremersdorf, Luzern. 
Ist Teil von:
Himmelsglobus. Im Innern eingebautes Uhrwerk. Am Nordpol kleines Zifferblatt aus Silber. Kassel. Inhalt: Lebensalter / Lebensetappen. Herstellung: Jost Bürgi (1552 - 1632). 1594. Herkunft: Joseph Fremersdorf, Luzern. 25,5 cm. Ø 14,2 cm (Durchmesser Kugel). Messing, vergoldet, gegossen. Graviert, getrieben. Ziseliert. 

Literatur:
J.H.Leobold-K.Pechstein, Der kleine Himmelsglobus 1594 von Jost Bürgi, Luzern 1977. ",,Jost Bürgi (1552 - 1632). ,Sammler ,Lebensalter / Lebensetappen. ,,
132126,LM-59934,Technologie und Brauchtum,Wassertanse,"Zum Befördern des Trinkwassers vom Brunnen zur Küche. Volutenartiger Aufbau. Inhalt: Ortswappen Bern. Datiert 1776. Herkunft: Wetzikon ZH. 98 cm. Kupfer, verzinnt, getrieben. ",1776,,  ,Ortswappen Bern. ,Höhe 98 cm.,"Kupfer, verzinnt, getrieben."
125362,LM-60220,Technologie und Brauchtum,Formillon (Hutherst.),"Ringförmig, mit Messband und Bogenskala zum Messen der Hutgrössen 47 bis 63. Griff von einer Tuchschere abgeleitet. Inhalt: Hutmacher(ei). Herstellung: Hersteller Serve Ch. & Notter A., Lyon. 1900 - 1950. Herkunft: Baumann A., Zürich. 3,7 cm. Ø 15 cm. Messband: Stahlblech. Griff: Gusseisen. Skala: Weissblech. ",1900 - 1950  ,"Hersteller Serve Ch. & Notter A., Lyon. ",Hutmacher ,Hutmacher(ei). ,"Breite 3.7 cm, Durchmesser 15 cm.",Messband: Stahlblech. Griff: Gusseisen. Skala: Weissblech.
120427,LM-62492,Technologie und Brauchtum,Feuerwehreimer,"Aussen aufgemalt: 'gottehaus Einsidlen', darunter Stiftswappen. Inhalt: Stiftswappen Einsiedeln Kloster. Datiert 1740. Herkunft: Einsiedeln. 34 cm. Ø 22 cm. ",1740,,  ,Stiftswappen Einsiedeln Kloster. ,"Höhe 34 cm, Durchmesser 22 cm.",
5660,LM-64424,Technologie und Brauchtum,Bauernhausmodell,"Mit Strohdach, unter Glassturz (168 x 108 x 94). Inhalt: Bauernhaus Aargau. Vor 1912. 79 x 63 x 48 cm. ",1912,,,Bauernhaus Aargau. ,"Höhe 79 cm, Breite 63 cm, Tiefe 48 cm.",
5661,LM-64425,Technologie und Brauchtum,Architekturmodell,"Bauernhaus mit Strohdach, mit Wohnteil, Tenn, Viehstall und Futtertenn. Inhalt: Bauernhaus. 1900 - 1910. 145 x 93 x 90 cm. ",1900 - 1910  ,,,Bauernhaus. ,"Glassturz: Höhe 145 cm, Breite 93 cm, Tiefe 90 cm.",
5835,LM-64604,Technologie und Brauchtum,Leibfessel,"Mit Fusseisen. Kettenösen, Öffnungsscharnier und Splintverschluss. 1600 - 1700. 85 x 96,5 cm. Ø 26,3 cm. Eisen, geschmiedet. 

Literatur:
19930708. ",1600 - 1700  ,,Titel ,,"Höhe 85 cm, Breite 96.5 cm, Durchmesser 26.3 cm.","Eisen, geschmiedet."
5897,LM-64685,Technologie und Brauchtum,Waage,"2 angehängte Waagschalen aus Horn, stark bombiert. Balkenenden ausgeschmiedet. Inhalt: Apotheke(r). 1800 - 1850. 21 cm. Ø 9 cm. Eisen. ",1800 - 1850  ,,,Apotheke(r). ,"Höhe 21 cm, Durchmesser 9 cm.",Eisen.
5280,LM-64799,Technologie und Brauchtum,Feuerhaken,"Der Haken diente zum Einreissen von Mauern und Gebälk bei Feuersbrünsten. Inhalt: Feuerwehr. 1787. Herkunft: Bern. 42,6 x 31 cm. Eisen, geschmiedet. ",1787,,  ,Feuerwehr. ,"Höhe 42.6 cm, Breite 31 cm.","Eisen, geschmiedet."
6199,LM-65382.1-4,Technologie und Brauchtum,Klaueneisen für Zugvieh (Landwirtschaft),"Für die Vorderklauen: 2 längere und 2 kürzere Eisen. Inhalt: Ackerbau. 1940 - 1960. 10,5 cm. Eisen. 

Literatur:
19930618. ",1940 - 1960  ,,,Ackerbau. ,Höhe 10.5 cm.,Eisen.
6252,LM-65433,Technologie und Brauchtum,Haspel/Garnhaspel (Textilherst.),Umdrehungszählwerk über Schneckenrad und zwei hölzerne Zahnräder. Inhalt: Textilproduktion. 1790 - 1800. Herkunft: Aargau. 63 x 50 cm. Birnbaumholz. ,1790 - 1800  ,,  ,Textilproduktion. ,"Höhe 63 cm, Breite 50 cm.",Birnbaumholz.
6253,LM-65434,Technologie und Brauchtum,Maske,"Mit eingesetzten Kuhzähnen, aufgenageltem Jutestück und schwarzem Schaffell. Inhalt: Frühlingsbrauch Lötschental (Region). Herstellung: Lötschental (Region). Um 1950. 37 x 22 x 13 cm. geschnitzt. ",1950,Lötschental (Region). ,,Frühlingsbrauch Lötschental (Region). ,"Höhe 37 cm, Breite 22 cm, Tiefe 13 cm.",geschnitzt.
6254,LM-65435,Technologie und Brauchtum,Maske,"Mit eingesetzten Eberzähnen (Hauer) und aufgenageltem Jutestück und Fuchsfell. Inhalt: Frühlingsbrauch Lötschental (Region). Herstellung: Lötschental (Region). Um 1950. 40 x 22 x 20 cm. Ahornholz, geschnitzt. Fell. Fell. Sackleinen. ",1950,Lötschental (Region). ,,Frühlingsbrauch Lötschental (Region). ,"Höhe 40 cm, Breite 22 cm, Tiefe 20 cm.","Ahornholz, geschnitzt. Fell. Fell. Sackleinen."
98983,LM-65947,Technologie und Brauchtum,Gesetzeserlass,Satzung und Ordnung wider die unzytigen Ehen und andere Lychtfertigkeiten. Herstellung: Zürich. Datiert 1653. 18 x 14 cm. ,1653,Zürich. ,,,"Höhe 18 cm, Breite 14 cm.",
121710,LM-68718,Technologie und Brauchtum,Beleuchtungszubehör,"Verdunkelungseinrichtung für Glühbirne. Durch Bleigewicht hochgezogener Zylinder mit violetter Verglasung am Boden. Herstellung: Fabrikant Blumer & Co., Zürich. 1939 - 1945. 17 cm. Ø 8,5 cm. Aluminium. Glas. Gegengewicht: Blei. ",1939 - 1945,"Fabrikant Blumer & Co., Zürich. ",,,"Höhe 17 cm, Durchmesser 8.5 cm.",Aluminium. Glas. Gegengewicht: Blei.
480121,LM-68719,Technologie und Brauchtum,Beleuchtungszubehör,"Verdunkelungseinrichtung für Glühbirne. Durch Bleigewicht hochgezogener Zylinder mit violetter Verglasung am Boden. Herstellung: Fabrikant Blumer & Co., Zürich. 1939 - 1945. 17 cm. Ø 8,5 cm. Aluminium. Glas. Gegengewicht: Blei. ",1939 - 1945,"Fabrikant Blumer & Co., Zürich. ",,,"Höhe 17 cm, Durchmesser 8.5 cm.",Aluminium. Glas. Gegengewicht: Blei.
480122,LM-68720,Technologie und Brauchtum,Beleuchtungszubehör,"Verdunkelungseinrichtung für Glühbirne. Durch Bleigewicht hochgezogener Zylinder mit violetter Verglasung am Boden. Herstellung: Fabrikant Blumer & Co., Zürich. 1939 - 1945. 17 cm. Ø 8,5 cm. Aluminium. Glas. Gegengewicht: Blei. ",1939 - 1945,"Fabrikant Blumer & Co., Zürich. ",,,"Höhe 17 cm, Durchmesser 8.5 cm.",Aluminium. Glas. Gegengewicht: Blei.
480123,LM-68721,Technologie und Brauchtum,Beleuchtungszubehör,"Verdunkelungseinrichtung für Glühbirne. Durch Bleigewicht hochgezogener Zylinder mit violetter Verglasung am Boden. Herstellung: Fabrikant Blumer & Co., Zürich. 1939 - 1945. 17 cm. Ø 8,5 cm. Aluminium. Glas. Gegengewicht: Blei. ",1939 - 1945,"Fabrikant Blumer & Co., Zürich. ",,,"Höhe 17 cm, Durchmesser 8.5 cm.",Aluminium. Glas. Gegengewicht: Blei.
121865,LM-68766,Technologie und Brauchtum,Fotoapparat,"Kodak Folding Pocket Nr. 1 Kamera: Flaches Modell mit Ausziehbalg für Format 6 x 6 cm. Schwarzes Blechgehäuse. Herstellung: Fabrikant Eastman Kodak Company. 1899 - 1910. 9 x 17,5 x 4,5 cm (Kamera). Eisen. ",1899 - 1910,Fabrikant Eastman Kodak Company. ,,,"Kamera: Höhe 9.3 cm, Breite 17.4 cm, Tiefe 4.4 cm (geschlossen).
Höhe 9.3 cm, Breite 17.4 cm, Tiefe 13.5 cm (Balg ausgefahren).",Eisen.
98112,LM-68872,Technologie und Brauchtum,Deckelpokal,"Deckel mit plastisch modelliertem Blattkelch und liegendem Knaben mit Hündchen. Herstellung: Brienz. Um 1830 - 1840. 30 cm. Holz, gedrechselt, geschnitzt. ",1830 - 1840  ,Brienz. ,,,Höhe 30 cm.,"Holz, gedrechselt, geschnitzt."
99592,LM-68873,Technologie und Brauchtum,Schale,"Runde gekehlte Fussplatte, darauf kniender Mann, der als Korb eine Kuppa trägt. Inhalt: Mann. Herstellung: Brienz. Um 1830 - 1840. 15 cm. Holz, gedrechselt, geschnitzt. ",1830 - 1840  ,Brienz. ,,Mann. ,Höhe 15 cm.,"Holz, gedrechselt, geschnitzt."
105040,LM-69379,Technologie und Brauchtum,Perforator,"'Baunscheidt-Lebenswecker'; Kopfteil abschraubbar, darin ursprünglich 31 Nadeln. Inhalt: Medizin und Heilkunde. 1840 - 1860. Herkunft: Stans (NW), Kloster (Kapuziner). 24 cm. Ø 3,25 cm. Ebenholz, gedrechselt. ",1840 - 1860  ,,  ,Medizin und Heilkunde. ,"Höhe 24 cm, Durchmesser 3.25 cm.","Ebenholz, gedrechselt."
105796,LM-69427.1-12,Technologie und Brauchtum,Bügeleisenofen,"Auf 3 Beinen stehender Korpus mit Oberteil zum Anstellen von 6 Bügeleisen. Herstellung: Fabrikant Bender und Kisling Bügeleisenfabrik, Zürich. 1900 - 1910. 74,5 x 43 x 36 cm. Gusseisen. ",1900 - 1910  ,"Fabrikant Bender und Kisling Bügeleisenfabrik, Zürich. ",,,"Höhe 74.5 cm, Breite 43 cm, Tiefe 36 cm.",Gusseisen.
7300,LM-72306,Technologie und Brauchtum,Deckelpokal,"Balusterschaft, Kuppa mit Schnitzereien: Alphornbläser, Ringer, Steinstosser. Pokal für die Festtafel der Sieger am Unspunnenfest. Inhalt: Alphornbläser. Unspunnen-Fest. Herstellung: Franz Abart (1769 - 1863), Kerns. Datiert nach Quelle 1805. 32 cm. Holz, geschnitzt. 

Literatur:
H. Spreng, Das Alphirtenfest zu Unspunnen, in: Berner Zeitschrift für Geschichte und Heimatkunde 1946, S. 133-174, bes. S. 155/168; vgl. auch Rudolf Gallati / Christoph Wyss, Unspunnen - die Geschichte der Alphirtenfeste, 1993 Touristik-Museum der Jungfrau-Region, 3800 Unterseen. ",1805,"Franz Abart (1769 - 1863), Kerns. ",,Alphornbläser. Unspunnen-Fest. ,Höhe 32 cm.,"Holz, geschnitzt."
131178,LM-74695,Technologie und Brauchtum,Video,"Cassette vidéo du film américain 'Rio Bravo' mettant en scène le Far West. Herstellung: Warner Home Video. 1993. 19 x 12,5 x 3 cm. ",1993,Warner Home Video. ,,,"Höhe 19 cm, Breite 12.5 cm, Tiefe 3 cm.",
135762,LM-74797,Technologie und Brauchtum,Sägebock (Brennholzaufber.),"Mit drei scherenartigen Beinpaaren, die mit Schloss-Schrauben verbunden sind. Inhalt: Forstwirtschaft. 1925 - 1950. 91 x 79,5 cm. Eschenholz. Schraube: Eisen. ",1925 - 1950  ,,,Forstwirtschaft. ,"Höhe 91 cm, Breite 79.5 cm.
Sägebock: Tiefe 29 cm (geschlossen).
Sägebock: Tiefe 60 cm (geöffnet).",Eschenholz. Schraube: Eisen.
135763,LM-74798,Technologie und Brauchtum,Schrotsäge (Forstwirtschaft),"Sägeblatt mit geradem Rücken und konvexgebogener Zahnspitzenlinie. Inhalt: Forstwirtschaft. 1925 - 1950. 37,5 x 146 x 4,2 cm. Griff: Buchenholz. 

Literatur:
Das Werkzeug des Zimmermanns, M. Gerner, Hannover 1986 (O.58). ",1925 - 1950  ,,,Forstwirtschaft. ,"Höhe 37.5 cm, Länge 146 cm, Tiefe 4.2 cm.
Blatt: Höhe 16.5 cm, Länge 112 cm, Tiefe 0.15 cm.",Griff: Buchenholz. 
135764,LM-74799,Technologie und Brauchtum,Ablängreisser (Forstwirtschaft),"Holzstab mit abgekröpftem angespitztem Einsteckdorn an einem Ende. Inhalt: Forstwirtschaft. 1925 - 1950. 67,5 x 12 x 3,4 cm. Eschenholz. Klinge: Stahl. ",1925 - 1950  ,,,Forstwirtschaft. ,"Höhe 67.5 cm, Breite 12 cm, Tiefe 3.4 cm.",Eschenholz. Klinge: Stahl.
147295,LM-74959,Technologie und Brauchtum,Bügeleisen-/zubehör (Haushalt),"Im Innern Flammrohr mit kleinen Austrittsöffnungen für die Gasflamme. Herstellung: Erfinder wohl Fritz Studer, Le Locle. Um 1910. 20,5 x 7,8 cm. Chromstahl. ",1910,"Erfinder wohl Fritz Studer, Le Locle. ",,,"Höhe 20.5 cm, Breite 7.8 cm.
Sohle: Länge 19 cm, Breite 7.8 cm.",Chromstahl.
138903,LM-74961,Technologie und Brauchtum,Kinderbadewanne,"Boden flach, mit zwei nicht parallelen geraden Seiten und runden Enden. 1900 - 1925. 35,6 x 90,5 cm. Zink. ",1900 - 1925  ,,,,"Höhe 35.6 cm, Breite 90.5 cm.",Zink.
139335,LM-75032,Technologie und Brauchtum,Deckelpokal,"Deckelpokal. LM-75032. Kelchförmiger Becher auf massivem Fuss, Fuss mit Kranz- und Blattornament, Kelch aus Blättern aufsteigend mit Rosettenband und Mündung mit  Blumen- und Früchtekranz. Steckdeckel. Inhalt:  Blatt- und Blumenkranzmotiv . Herstellung: Brienz. Datiert nach Inschrift 1830. Herkunft: Familie Secretan. 24,5 cm. Ahornholz. ",1830,Brienz. ,  ,Blatt- und Blumenkranzmotiv. ,Höhe 24.5 cm.,Ahornholz.
155525,LM-75414,Technologie und Brauchtum,Presskorb,"Aus zwei halbkreisförmigen Teilen; dazugehörig 6 Pressbalken. Um 1920 - 1930. Herkunft: Prangins (VD), Schlossbauernhof. 79 cm. Ø 126 cm. Eichenholz. ",1920 - 1930  ,,  ,,"Höhe 79 cm, Durchmesser 126 cm.",Eichenholz.
155554,LM-75446,Technologie und Brauchtum,Kopierpresse (Buchbinderei),"Eisensockel, reich verzierter Gussbogen mit Spindel und kurzen Handgriffen. 1900 - 1925. Herkunft: Schweiz, Westschweiz. 71 x 42 x 42 cm. Stahl. ",1900 - 1925  ,,  ,,"Gestell: Höhe 71 cm, Breite 42 cm, Tiefe 42 cm.",Stahl.
177400,LM-75920,Technologie und Brauchtum,Kaffeemühle,"Mahlgut-Schublade mit Messingknopf. Kaffeetrichter aus Messing, schalenförmig. Herstellung: vielleicht Zürich. 1851. 53 x 16 cm. Nussbaumholz. ",1851,vielleicht Zürich. ,,,"Höhe 53 cm, Breite 16 cm.",Nussbaumholz.
177418,LM-75923,Technologie und Brauchtum,Tabakpfeife,"Plumper hakenförmiger Kopf, darin eingestecktes Rohr aus Haselholz. 1900 - 1910. 29 cm. Ø 5,2 cm. Meerschaum. ",1900 - 1910  ,,,,"Höhe 29 cm, Durchmesser 5.2 cm.",Meerschaum.
177420,LM-75925,Technologie und Brauchtum,Gleichgewichtswaage,"Mit Relief-Aufschrift 'FORCE 5 KILOG'. Auf dem Waagbalken Stempel 'WR'. Herstellung: Schweiz. 1900 - 1910. 17 x 45,8 x 22,4 cm. Gusseisen. ",1900 - 1910  ,Schweiz. ,,,"Höhe 17 cm, Breite 45.8 cm, Tiefe 22.4 cm.",Gusseisen.
177422,LM-75926,Technologie und Brauchtum,Spinnrad (Spinnerei),"Auf rundem Dreifussschemel zwei Kunkelstöcke mit Knäufen und Rillenbündeln. Inhalt: Spinnerei. 1850 - 1900. 93 cm. Ø 63,5 cm. Buchenholz. ",1850 - 1900  ,,,Spinnerei. ,"Höhe 93 cm, Durchmesser 63.5 cm.",Buchenholz.
177443,LM-75937,Technologie und Brauchtum,Überseekoffer,"Aussenseiten bebändert, mit Polsternägeln beschlagen. Schweres Zentralschloss. 1900 - 1950. 57 x 106 x 57 cm. Sperrholz. ",1900 - 1950  ,,,,"Höhe 57 cm, Breite 106 cm, Tiefe 57 cm.",Sperrholz.
177447,LM-75947,Technologie und Brauchtum,Reitsattel,"Dachförmig, mit Holzgestell; mit Birkenbast unterlegt. 1800 - 1810. Herkunft: Valzeina. 36 x 56 x 53 cm. Rindsleder. ",1800 - 1810  ,,  ,,"Höhe 36 cm, Breite 56 cm, Tiefe 53 cm.",Rindsleder.
177156,LM-75956,Technologie und Brauchtum,Dusche,"Kappelen-Dusche. Im Schloss Prangins um 1920 eingebaut. Um 1880. Herkunft: Prangins (VD), Schloss Prangins. 248 cm. Ø 95 cm. Dusche: Metall. Fusswanne: Keramik. 

Literatur:
Das Bad. Körperkultur und Hygiene im 19. und 20 Jahrhundert, Ausst.-Kat. Historisches Museum der Stadt Wien, 1992, S. 15 (Abb).
E. Brügger, Hygienische Körperpflege. Neuzeitliche Badekultur, o.J., S. 17. ",1880,,  ,,"Höhe 248 cm, Durchmesser 95 cm.",Dusche: Metall. Fusswanne: Keramik.
301584,LM-78202,Wissensch. Instrumente,Winkeltrommel,"Korpus achteckig, mit je 4 Such- und Zielschlitzen. Um 1875. Herkunft: St. Gotthard. 13,9 x 6,16 cm. Messing, geschwärzt. ",1875,,  ,,"Höhe 13.9 cm, Breite 6.16 cm.","Messing, geschwärzt."
301585,LM-78203,Wissensch. Instrumente,Winkeltrommel,"Korpus zylindrisch, in der Höhe unterteilt, dazwischen Ring mit Gradeinteilung. Um 1875. Herkunft: St. Gotthard. 16,8 cm. Messing. ",1875,,  ,,Höhe 16.8 cm.,Messing.
305009,LM-79084,Technologie und Brauchtum,Bauchladen,"Für Raucherwaren, aus dem Hauptbahnhof Luzern. Um 1960. 28 x 52 x 35,5 cm. Holz. Leder. . ",1960,,,,"Höhe 28 cm, Breite 52 cm, Tiefe 35.5 cm.",Holz. Leder.  .
305017,LM-79086,Technologie und Brauchtum,Speiseeismaschine,"Gerät bestehend aus Motor und Rührwerk. Herstellung: Gerätehersteller Rotel Haushaltgerätehersteller, Schweiz. Um 1950. 9 x 30 x 12,5 cm. Aluminium. Bakelit. ",1950,"Gerätehersteller Rotel Haushaltgerätehersteller, Schweiz. ",,,"Höhe 9 cm, Breite 30 cm, Tiefe 12.5 cm.",Aluminium. Bakelit.
305023,LM-79092,Technologie und Brauchtum,Caldor,"Rund, Boden leicht abgesetzt, mit Pfeiffvorrichtung. Herstellung: Blattmann Metallwarenfabrik AG (von 1838), Wädenswil. 1955. 21 cm. Ø 17 cm. Aluminium. Bakelit. ",1955,"Blattmann Metallwarenfabrik AG (von 1838), Wädenswil. ",,,"Höhe 21 cm, Durchmesser 17 cm.",Aluminium. Bakelit.
305024,LM-79093,Technologie und Brauchtum,Kaffeekrug,"Kaffeekrug. LM-79093. Eiförmiger Korpus mit Rundhenkel und hochgezogenem Ausguss. Mit integrierter Heizvorrichtung, Steckdose im unteren Teil des Griffes. Herstellung: Porzellanfabrik Langenthal (*1906), Langenthal. Datiert nach Marke 1958. 21 x 23,5 cm. Porzellan. ",1958,"Porzellanfabrik Langenthal (von 1906), Langenthal. ",,,"Höhe 21 cm, Breite 23.5 cm.",Porzellan.
305029,LM-79098,Technologie und Brauchtum,Handmixer,"Handrührgerät mit zwei Schwingen aus Leichtmetall, Elektromotor verschalt. Herstellung: Gerätehersteller Gysling Haushaltgerätehersteller. Um 1950 - 1960. 14,5 x 15 x 8,5 cm. . Leichtmetall. ",1950 - 1960  ,Gerätehersteller Gysling Haushaltgerätehersteller. ,,,"Höhe 14.5 cm, Breite 15 cm, Tiefe 8.5 cm.", . Leichtmetall.
305034,LM-79101,Technologie und Brauchtum,Toaster,"Hochrechteckiger Rahmen mit mechanischer Drehvorrichtung für die Brote. Um 1920. 27 x 24 x 9 cm. Metall. Bakelit. Griff: Peddigrohr, geflochten. ",1920,,,,"Höhe 27 cm, Breite 24 cm, Tiefe 9 cm.","Metall. Bakelit. Griff: Peddigrohr, geflochten."
305042,LM-79104,Technologie und Brauchtum,Toaster,"Formal durchgestalteter Toaster; kugelartiges Gehäuse auf gelbem Sockel. Um 1955. 20 x 20,5 x 11,5 cm. Metall, verchromt. Sockel: . ",1955,,,,"Höhe 20 cm, Breite 20.5 cm, Tiefe 11.5 cm.","Metall, verchromt. Sockel:  ."
326580,LM-80207.1,Technologie und Brauchtum,Mobiltelefon,"Mobiltelefon. LM-80207.1. 'NATELport' in Aluminiumkoffer; erstes mobiles auf dem schweizer Markt. Herstellung: Hersteller Brown-Boveri SA, Baden. Datiert 1978. 36,5 x 53,5 x 18 cm. Koffer: Aluminium. ",1978,"Hersteller Brown-Boveri SA, Baden. ",,,"Höhe 36.5 cm, Breite 53.5 cm, Tiefe 18 cm.",Koffer: Aluminium.
330373,LM-80213,Technologie und Brauchtum,Grammophon/Plattenspieler,"Einfache, längsrechteckige Form mit hölzernen Seitenwänden 'Schneewittchensarg'. Herstellung: Braun AG; Entwerfer Dieter Rams. Um 1956. 24 x 58 x 29 cm. Metall. Holz. . ",1956,Braun AG; Entwerfer Dieter Rams,,,"Höhe 24 cm, Breite 58 cm, Tiefe 29 cm.",Metall. Holz.  .
381848,LM-80214,Technologie und Brauchtum,Staubsauger,"Besenmodell, Hoover Modell 5016, in rosa-weisser Farbe, mit Beleuchtung. Herstellung: Hoover LTD. Um 1950. 108 x 35 x 37 cm. . Metall. Tasche: Baumwolle. ",1950,Hoover LTD. ,,,"Höhe 108 cm, Breite 35 cm, Tiefe 37 cm.", . Metall. Tasche: Baumwolle.
381981,LM-80217.1-2,Technologie und Brauchtum,Glühbirne,Zur Verdunkelung während den Kriegsjahren. Inhalt: Weltkrieg 2. 1939 - 1944. ,1939 - 1944,,,Weltkrieg 2. ,,
330443,LM-80269,Technologie und Brauchtum,Rollschuhe,"Verstellbares Rollgestell, durch Gewichstverlagerung lenkbar, mit Lederriemen. Inhalt: Kindheit. Um 1960. 101,5 x 24,5 x 8,5 cm. Metall. Leder. ",1960,,,Kindheit. ,"Höhe 101.5 cm, Länge 24.5 cm, Breite 8.5 cm.",Metall. Leder.
326578,LM-80291,Technologie und Brauchtum,Inhalationsapparat,"Behälter für Inhalationsflüssigkeit und Zerstäubvorrichtung. Inhalt: Gesundheitswesen. Herstellung: Zürich. Datiert 1911. 19 x 27 x 19,5 cm. Metall. ",1911,Zürich. ,,Gesundheitswesen. ,"Höhe 19 cm, Breite 27 cm, Tiefe 19.5 cm.",Metall.
